1;32 793
2;31 593
3;46 443
4;57 243
5;84 469
6;110 627
7;123 366
8;99 885
9;118 623
10;137 738
11;176 765
12;194 806
13;186 210
14;146 983
15;135 757
16;90 546
17;93 083
18;90 311
19;46 192
20;117 690
21;86 666
22;102 486
23;90 958
24;123 047
25;96 513
26;96 311
27;64 536
28;51 574
29;43 919
30;25 549
31;25 551
32;28 905
33;20 170
34;32 969
35;55 168
36;55 257
37;68 431
38;67 625
39;114 365
40;161 757
41;186 593
42;146 866
43;144 279
44;143 452
45;169 477
46;136 261
47;176 303
48;180 826
49;180 187
50;127 368
51;32 869
52;40 791
53;45 153
54;70 010
55;85 071
56;83 478
57;110 948
58;118 020
59;107 166
60;114 083
61;141 848
62;160 383
63;178 085
64;152 117
65;127 818
66;145 230
67;73 154
68;73 621
69;83 823
70;103 780
71;80 219
72;64 743
73;96 229
74;92 449
75;89 434
76;22 698
77;30 819
78;51 824
79;66 799
80;56 839
81;69 656
82;97 521
83;135 528
84;211 463
85;151 448
86;12 696
87;0
88;69 656
89;97 521
90;135 528
91;211 463
92;151 448
